Mes;Data Pagamento;Codigo Lancamento (omie_id);nCodTitulo;Categoria Omie (cCodCateg);Categoria Mapeada (DB);Valor (R$);Fornecedor/Cliente;Documento;Origem (cOrigem);Grupo (cGrupo);Observacao
2026-01;08/01/2026;mov:11104868750:001/001:MANP;11104868750;2.08.94;__fundos_desp_2.08.94;"200,00";JULIANA LEAL MOYSES - SANTANDER CC 01000592-6;001/001;MANP;CONTA_A_PAGAR;"08/01/2026 R$ 200,00  REEMBOLSO JULIANA - MO |limpeza extra Expominas med Arkham"
2026-01;14/01/2026;mov:11104626707:001/001:MANP;11104626707;2.08.94;__fundos_desp_2.08.94;"337,04";CAIO CESAR MOREIRA DA SILVA - CEF CP 00017205-7;001/001;MANP;CONTA_A_PAGAR;CAIO CESAR MOREIRA - REEMBOLSO FEINNI - MED ARKAN
2026-01;14/01/2026;mov:11104627748:001/001:MANP;11104627748;2.08.94;__fundos_desp_2.08.94;"3.182,44";RTH COMERCIO DE DOCES LTDA;001/001;MANP;CONTA_A_PAGAR;RHT COMERCIO DOCES - MED ARKAN|
2026-01;15/01/2026;mov:11104631252:001/001:MANP;11104631252;2.08.94;__fundos_desp_2.08.94;"323,29";RESTAURANTE DIVINA MALOCA;001/001;MANP;CONTA_A_PAGAR;ALIMENTAÇÃO EQUIPE - MED ARKAN - RESTAURANTE DIVINA|
2026-01;16/01/2026;mov:11104632896:001/001:MANP;11104632896;2.08.94;__fundos_desp_2.08.94;"518,98";RESTAURANTE DIVINA MALOCA;001/001;MANP;CONTA_A_PAGAR;ALIMENTAÇÃO EQUIPE - MED ARKAN - RESTAURANTE DIVINA|
2026-01;19/01/2026;mov:11104656491:001/001:MANP;11104656491;2.08.94;__fundos_desp_2.08.94;"60,30";AUTOSNACK JUIZ DE FORA LANCHONETE E RESTAURANTE LTDA;001/001;MANP;CONTA_A_PAGAR;ALIMENTAÇÃO MED ARKAN - AUTOSNACK|
2026-01;19/01/2026;mov:11104656995:001/001:MANP;11104656995;2.08.94;__fundos_desp_2.08.94;"283,63";"GRAAL COMERCIO, EMPREENDIMENTOS E PARTICIPACOES LTDA";001/001;MANP;CONTA_A_PAGAR;ALIMENTÇÃO MED ARKAN - GRAAL|
2026-01;19/01/2026;mov:11104657325:001/001:MANP;11104657325;2.08.94;__fundos_desp_2.08.94;"53,00";AUTOSNACK JUIZ DE FORA LANCHONETE E RESTAURANTE LTDA;001/001;MANP;CONTA_A_PAGAR;ALIMENTAÇÃO MED ARKAN - AUTOSNACK|
2026-01;19/01/2026;mov:11104658005:001/001:MANP;11104658005;2.08.94;__fundos_desp_2.08.94;"90,00";AUTOSNACK JUIZ DE FORA LANCHONETE E RESTAURANTE LTDA;001/001;MANP;CONTA_A_PAGAR;ALIMENTAÇÃO MED ARKAN - AUTOSNACK|
2026-01;19/01/2026;mov:11104661468:001/001:MANP;11104661468;2.08.94;__fundos_desp_2.08.94;"212,11";"GRAAL COMERCIO, EMPREENDIMENTOS E PARTICIPACOES LTDA";001/001;MANP;CONTA_A_PAGAR;ALIMENTÇÃO MED ARKAN - GRAAL|
